CVE ID,Vulnerability Type(s),Score
CVE-2018-1999046, +Info,4.0
CVE-2018-1999045,,5.5
CVE-2018-1999044,DoS,4.0
CVE-2018-1999043,DoS,5.0
CVE-2018-1999042,,5.0
CVE-2018-1999041, +Info,2.1
CVE-2018-1999040, +Info,4.0
CVE-2018-1999039,,4.0
CVE-2018-1999038,,4.9
CVE-2018-1999037,,4.0
CVE-2018-1999036,,4.0
CVE-2018-1999035,,5.8
CVE-2018-1999034,,5.8
CVE-2018-1999033, +Info,4.0
CVE-2018-1999032,,4.0
CVE-2018-1999031, +Info,4.0
CVE-2018-1999030, +Info,4.0
CVE-2018-1999029,XSS,3.5
CVE-2018-1999028, +Info,4.0
CVE-2018-1999027,,6.8
CVE-2018-1999026,,4.0
CVE-2018-1999025,,5.8
CVE-2018-1999024,XSS,4.3
CVE-2018-1999023,Exec Code,6.8
CVE-2018-1999022,Exec Code,7.5
CVE-2018-1999021,XSS,3.5
CVE-2018-1999020,Dir. Trav.,5.8
CVE-2018-1999019,Exec Code,7.5
CVE-2018-1999018,Exec Code,8.5
CVE-2018-1999017,,4.0
CVE-2018-1999016,Sql XSS,4.3
CVE-2018-1999015,,4.3
CVE-2018-1999014,,4.3
CVE-2018-1999013,,4.3
CVE-2018-1999012,,7.1
CVE-2018-1999011,Exec Code Overflow,6.8
CVE-2018-1999010,,7.5
CVE-2018-1999009,Exec Code +Info File Inclusion,6.8
CVE-2018-1999008,XSS,3.5
CVE-2018-1999007,XSS,3.5
CVE-2018-1999006, +Info,4.0
CVE-2018-1999005,XSS,3.5
CVE-2018-1999004,,4.0
CVE-2018-1999003,,4.0
CVE-2018-1999002,,5.0
CVE-2018-1999001,,4.3
CVE-2018-1002209,Dir. Trav.,4.3
CVE-2018-1002208,Dir. Trav.,4.3
CVE-2018-1002207,Dir. Trav.,4.3
CVE-2018-1002206,Dir. Trav.,4.3
CVE-2018-1002205,Dir. Trav.,4.3
CVE-2018-1002204,Dir. Trav.,4.3
CVE-2018-1002203,Dir. Trav.,4.3
CVE-2018-1002202,Dir. Trav.,5.8
CVE-2018-1002201,Dir. Trav.,5.8
CVE-2018-1002200,Dir. Trav.,4.3
CVE-2018-1002150,,7.5
CVE-2018-1002105,,7.5
CVE-2018-1002103,,6.8
CVE-2018-1002101,,7.5
CVE-2018-1002100,,3.6
CVE-2018-1002009,XSS,3.5
CVE-2018-1002008,XSS,3.5
CVE-2018-1002007,XSS,3.5
CVE-2018-1002006,XSS,3.5
CVE-2018-1002005,XSS,3.5
CVE-2018-1002004,XSS,3.5
CVE-2018-1002003,XSS,3.5
CVE-2018-1002002,XSS,3.5
CVE-2018-1002001,XSS,3.5
CVE-2018-1002000,Sql,6.5
